Restaraunt,DetailsURL,Address,Cuisine,Avg_Bill,Additional,Atmosphere,Food,Service,Latitude,Longitude
Al Mare Grill,https://www.vabalaud.ee/en/restaurant/almaregrill/,"Mõisa tn 4 / Vabaõhumuuseumi tee 3, Tallinn, Harju county, 13522 ","['grill', ' european', ' american']",9.0,"['wifi', ' internet', ' accessible toilet', ' wheelchair access', ' daily special', ' catering', ' loyalty card', ' gift card', ' summer terrace', ' pet friendly', ' business meetings', ' sea view']",4.4,4.5,4.5,59.4271521,24.655658
Allee,https://www.vabalaud.ee/en/restaurant/allee/,"Kanuti 2, Tallinn, Harju County, 10111 ",['international'],12.0,"['wifi', ' internet', ' accessible toilet', ' wheelchair access', ' breakfast', ' daily special', ' loyalty card', ' gift card', ' summer terrace', ' conference room', ' projector', ' pet friendly', ' fireplace', ' accommodation', ' business meetings', ' sauna party', ' child friendly']",4.6,4.1,4.3,59.440128,24.7511312
Argentiina (Lootsi 8),https://www.vabalaud.ee/en/restaurant/argentiinalootsi/,"Lootsi 8, Tallinn, Harju County, 10151 ",['argentinean'],12.0,"['wifi', ' internet', ' smoking room or cigar lounge', ' private room or private hall', ' wheelchair access', ' daily special', ' live music', ' gift card', ' summer terrace', ' conference room', ' projector', ' pet friendly', ' family days', ' food courses', ' business meetings', ' top 50 restaurant', ' child friendly']",4.4,4.5,4.1,59.4408376,24.7652248
Argentiina (Pärnu mnt. 37),https://www.vabalaud.ee/en/restaurant/argentiina/,"Pärnu mnt 37, Tallinn, Harju County, 10119 ",['argentinean'],18.0,"['wifi', ' internet', ' smoking room or cigar lounge', ' private room or private hall', ' daily special', ' catering', ' loyalty card', ' gift card', ' summer terrace', ' conference room', ' projector', ' pet friendly', ' family days', ' business meetings']",4.5,4.7,4.6,59.4292722,24.7437892
Charlies Corner,https://www.vabalaud.ee/en/restaurant/charliescorner/,"Juhkentali 28, Tallinn, Harju County, 10132 ",['international'],12.0,"['wifi', ' internet', ' accessible toilet', ' private room or private hall', ' wheelchair access', ' breakfast', ' daily special', ' live music', ' loyalty card', ' gift card', ' summer terrace', ' conference room', ' projector', ' accommodation', ' business meetings', ' sauna party', ' child friendly']",0.0,0.0,0.0,59.4276057,24.7646986
Dominic,https://www.vabalaud.ee/en/restaurant/dominic/,"Vene 10, Tallinn, Harju county, 10123 ","['european', ' estonian']",18.0,"['wifi', ' internet', ' summer terrace', ' smoking room or cigar lounge', ' private room or private hall', ' wine education classes', ' daily special', ' live music', ' projector']",4.8,4.8,4.8,59.43753,24.74747
GC Gastrobar,https://www.vabalaud.ee/en/restaurant/gcgastrobar/,"Lai 49, Tallinn, Harju County, 10133 ","['european', ' scandinavian']",15.0,"['wifi', ' internet', ' wheelchair access', ' breakfast', ' daily special', ' catering', ' live music', ' gift card', ' summer terrace', ' food courses', ' child friendly']",4.7,4.9,4.8,59.4422213,24.7473673
Goodwin The Steak House,https://www.vabalaud.ee/en/restaurant/goodwin/,"Viru 22, Tallinn, Harju County, 10140 ",['american'],15.0,"['wifi', ' internet', ' private room or private hall', ' daily special', ' gift card', ' loyalty card', ' summer terrace', ' conference room', ' projector', ' pet friendly', ' business meetings', ' child friendly']",4.3,4.7,4.3,59.43649,24.7491717
Hans,https://www.vabalaud.ee/en/restaurant/hans/,"A. Lauteri 5, Tallinn, Harju County, 10114 (Next to Olympic Hotel)","['chinese', ' sichuan']",12.0,"['wifi', ' internet', ' private room or private hall', ' daily special', ' catering']",0.0,0.0,0.0,59.4314698,24.757714
IO restaurant,https://www.vabalaud.ee/en/restaurant/iorestoran/,"Narva mnt 63 / 4, Tallinn, Harju County, 10120 ",['italian'],15.0,"['wifi', ' internet', ' wheelchair access', ' breakfast', ' live music', ' loyalty card', ' gift card', ' summer terrace', ' conference room', ' projector', ' business meetings', ' child friendly']",4.6,4.8,4.4,59.4403038,24.7814065
Kalevi Jahtklubi Resto,https://www.vabalaud.ee/en/restaurant/kalevijahtklubi/,"Pirita tee 17, Tallinn, Harju county, 11911 ",['mediterranean'],12.0,"['wifi', ' internet', ' summer terrace', ' daily special', ' loyalty card', ' gift card', ' conference room', ' projector', ' business meetings', ' fireplace', ' family days']",4.8,4.6,4.4,59.46543,24.83003
Kivi Paber Käärid,https://www.vabalaud.ee/en/restaurant/kivipaberkaarid/,"Telliskivi 60a, Tallinn, Harju County, 10412 (Telliskivi Loomelinnak)",['fusion'],12.0,"['wifi', ' internet', ' accessible toilet', ' wheelchair access', ' breakfast', ' daily special', ' live music', ' gift card', ' summer terrace', ' projector', ' pet friendly', ' business meetings', ' child friendly']",4.6,4.7,4.7,59.4386723,24.728172
KÄRBES Kitchen & Bar,https://www.vabalaud.ee/en/restaurant/karbes/,"Telliskivi 60a / C1,  Tallinn, Harju County, 10412 (Vaba Lava Teatrikeskus)",['nordic'],12.0,"['wifi', ' internet', ' accessible toilet', ' private room or private hall', ' wheelchair access', ' daily special', ' catering', ' live music', ' loyalty card', ' gift card', ' summer terrace', ' projector', ' pet friendly', ' business meetings', ' child friendly']",4.6,4.3,4.5,59.4381495,24.7287826
La Prima Pizza Vanalinn,https://www.vabalaud.ee/en/restaurant/laprimapizza/,"Müürivahe 2, Tallinn, Harju County, 10146 ",['italian'],12.0,"['wifi', ' internet', ' catering', ' live music', ' loyalty card', ' summer terrace', ' pet friendly', ' business meetings', ' top 50 restaurant', ' child friendly']",5.0,4.7,5.0,59.4346949,24.7437899
Leib,https://www.vabalaud.ee/en/restaurant/leibrestojaaed/,"Uus tn 31, Tallinn, Harju county, 10111 ",['dedicated to estonian produce'],18.0,"['wifi', ' internet', ' summer terrace', ' fireplace', ' business meetings', ' conference room', ' projector']",4.6,4.6,4.6,59.44107,24.74951
Lore Bistroo,https://www.vabalaud.ee/en/restaurant/lore/,"Peetri 12, Tallinn, Harju county, 10411 ",['international'],12.0,"['wifi', ' internet', ' wheelchair access', ' gift card', ' summer terrace', ' fireplace', ' family days']",4.6,4.6,4.5,59.4523743,24.7304695
MEAT Resto & Butchery,https://www.vabalaud.ee/en/restaurant/meatresto/,"Rannamõise tee 38d, Tallinn, Harju County, 13516 (Tiskre Ärimaja)",['steak house'],18.0,"['wifi', ' internet', ' wheelchair access', ' breakfast', ' daily special', ' gift card', ' loyalty card', ' summer terrace', ' pet friendly', ' fireplace', ' business meetings', ' child friendly']",4.6,4.3,4.3,59.4373584,24.5720225
Oia,https://www.vabalaud.ee/en/restaurant/oia/,"Vene 6, Tallinn, Harju County, 10140 ",['greek'],12.0,"['wifi', ' internet', ' private room or private hall', ' loyalty card', ' gift card', ' summer terrace', ' pet friendly', ' business meetings', ' child friendly attitude']",4.6,4.6,4.4,59.4372381,24.7470969
Olde Hansa,https://www.vabalaud.ee/en/restaurant/oldehansa/,"Vana turg 1, Tallinn, Harju County, 10140 ",['medieval'],18.0,"['summer terrace', ' private room or private hall', ' wheelchair access', ' live music', ' gift card', ' pet friendly', ' fireplace']",4.9,4.5,4.7,59.43666,24.74588
Platz,https://www.vabalaud.ee/en/restaurant/platz/,"Roseni 7, Tallinn, Harju County 10111 (Rotermann Quarter)",['european'],15.0,"['wifi', ' internet', ' summer terrace', ' private room or private hall', ' wheelchair access', ' daily special', ' gift card', ' loyalty card']",4.6,4.7,4.8,59.43861,24.75543
Poke Bowl,https://www.vabalaud.ee/en/restaurant/pokebowltallinn/,"Tartu maantee 13, Tallinn, Harju County, 10117 (Kompassi Ärimaja)",['hawaii'],9.0,"['catering', ' pet friendly', ' food courses', ' business meetings']",0.0,0.0,0.0,59.4344336,24.7611214
Poke Bowl (Tammsaare tee 104),https://www.vabalaud.ee/en/restaurant/pokebowlmustamae/,"A. H. Tammsaare tee 104a, Tallinn, 12918 (Mustamäe Keskus)",['hawaii'],12.0,"['wheelchair access', ' catering', ' gift card', ' food courses', ' business meetings', ' child friendly']",0.0,0.0,0.0,59.4085999,24.6887217
Rae,https://www.vabalaud.ee/en/restaurant/rae/,"Raekoja plats 10, Tallinn, Harju County, 10123 ",['european'],15.0,"['wifi', ' internet', ' breakfast', ' loyalty card', ' gift card', ' summer terrace']",4.8,5.0,5.0,59.4377045,24.7455028
